Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Tipo
192.168.100.15-108.158.153.29-49726-80-6,192.168.100.15,49726,108.158.153.29,80,6,21/01/2023 12:50:01 PM,68522,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1877061381746,68522.0,0.0,68522.0,68522.0,0.0,0.0,0.0,0.0,0.0,68522.0,68522.0,0.0,68522.0,68522.0,0,0,0,0,0,40,0.0,29.1877061381746,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,131,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-108.158.153.29-49727-80-6,192.168.100.15,49727,108.158.153.29,80,6,21/01/2023 12:50:01 PM,68693,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.115048112617004,68693.0,0.0,68693.0,68693.0,0.0,0.0,0.0,0.0,0.0,68693.0,68693.0,0.0,68693.0,68693.0,0,0,0,0,0,40,0.0,29.115048112617004,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,131,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-66.203.125.13-49703-443-6,192.168.100.15,49703,66.203.125.13,443,6,21/01/2023 12:50:03 PM,70,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,442857.1428571429,28571.42857142857,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,20,20,14285.714285714286,14285.714285714286,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,64952,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-66.203.125.13-49703-443-6,66.203.125.13,443,192.168.100.15,49703,6,21/01/2023 12:50:04 PM,1,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,31000000.0,3000000.0,0.5,0.7071067811865476,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,2000000.0,1000000.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,42177,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-13.69.239.73-49795-443-6,192.168.100.15,49795,13.69.239.73,443,6,21/01/2023 12:50:08 PM,1602674,15,13,11626.0,5820.0,1412.0,0.0,775.0666666666667,603.7334400765511,1412.0,0.0,447.6923076923078,579.4191609729213,10885.557512008058,17.47080192228738,59358.2962962963,100617.18727503569,245398.0,0.0,1365688.0,97549.14285714286,137861.16019323273,364685.0,3.0,1597110.0,133092.5,120611.56943337493,254707.0,0.0,0,0,0,0,300,284,9.359358172653952,8.111443749633425,0.0,1412.0,601.5862068965516,605.1226863349625,366173.4655172414,0,1,0,0,0,0,0,0,0.0,623.0714285714286,775.0666666666667,447.6923076923077,0,0,0,0,0,0,15,11626,13,5820,-1,2051,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-20.223.8.38-49772-443-6,192.168.100.15,49772,20.223.8.38,443,6,21/01/2023 12:49:58 PM,14991655,0,4,0.0,32.0,0.0,0.0,0.0,0.0,31.0,0.0,8.0,15.3405779986718,2.1345208384264445,0.2668151048033055,4997218.333333334,8454835.387331106,14759098.0,1.0,0.0,0.0,0.0,0.0,0.0,14991655.0,4997218.333333334,8454835.387331106,14759098.0,1.0,0,0,0,0,0,92,0.0,0.2668151048033055,0.0,31.0,6.6,13.64917579929279,186.3,0,0,0,0,1,0,0,0,0.0,8.25,0.0,8.0,0,0,0,0,0,0,0,0,4,32,-1,501,0,0,232556.0,0.0,232556.0,232556.0,14759098.0,0.0,14759098.0,14759098.0,No Label,multimedia
192.168.100.15-52.109.77.1-49765-443-6,192.168.100.15,49765,52.109.77.1,443,6,21/01/2023 12:50:24 PM,233223,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57548355007868,233223.0,0.0,233223.0,233223.0,0.0,0.0,0.0,0.0,0.0,233223.0,233223.0,0.0,233223.0,233223.0,0,0,0,0,0,40,0.0,8.57548355007868,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-13.68.233.9-49768-443-6,192.168.100.15,49768,13.68.233.9,443,6,21/01/2023 12:51:18 PM,187800,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.649627263045794,187800.0,0.0,187800.0,187800.0,0.0,0.0,0.0,0.0,0.0,187800.0,187800.0,0.0,187800.0,187800.0,0,0,0,0,0,40,0.0,10.649627263045794,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2051,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-20.223.8.38-49772-443-6,192.168.100.15,49772,20.223.8.38,443,6,21/01/2023 12:50:13 PM,70871948,3,2,32.0,0.0,31.0,0.0,10.666666666666668,17.61628034896508,0.0,0.0,0.0,0.0,0.4515185613354384,0.0705497752086622,17717987.0,28629370.77351473,60014430.0,483.0,10857518.0,5428759.0,7676741.539504375,10857035.0,483.0,60248650.0,60248650.0,0.0,60248650.0,60248650.0,0,0,0,0,60,40,0.0423298651251973,0.0282199100834649,0.0,31.0,5.333333333333334,12.58040804849615,158.26666666666668,0,0,0,0,1,0,0,0,0.0,6.4,10.666666666666666,0.0,0,0,0,0,0,0,3,32,2,0,-1,501,2,0,234220.0,0.0,234220.0,234220.0,35318622.5,34925145.9002552,60014430.0,10622815.0,No Label,multimedia
192.168.100.15-38.113.165.138-49687-443-6,192.168.100.15,49687,38.113.165.138,443,6,21/01/2023 12:50:01 PM,82811110,3,3,32.0,1.0,31.0,0.0,10.666666666666668,17.61628034896508,1.0,0.0,0.3333333333333333,0.5773502691896257,0.3984972547765631,0.0724540463230114,16562222.0,26120142.530003306,60010392.0,159.0,22571710.0,11285855.0,15960384.34401979,22571551.0,159.0,60467456.0,30233728.0,42433081.95920725,60238448.0,229008.0,0,0,0,0,60,60,0.0362270231615057,0.0362270231615057,0.0,31.0,4.857142857142857,11.538754575033526,133.14285714285714,0,0,0,0,1,0,0,0,1.0,5.666666666666667,10.666666666666666,0.3333333333333333,0,0,0,0,0,0,3,32,3,1,-1,63414,2,0,228532.0,673.1656556895932,229008.0,228056.0,41176943.5,26634518.294955224,60010392.0,22343495.0,No Label,multimedia
