Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.15-192.168.100.120-55655-80-6,192.168.100.15,55655,192.168.100.120,80,6,19/01/2023 02:48:55 PM,344444,4,5,333.0,274.0,333.0,0.0,83.25,166.5,257.0,0.0,54.8,113.27267984823172,1762.2603384004367,26.129065972988354,43055.49999999999,85467.58447337965,251078.0,256.0,332155.0,110718.33333333334,167736.23453605166,303842.0,1394.0,343804.0,85951.0,113730.46070717671,251078.0,9415.0,0,0,0,0,80,116,11.612918210217046,14.516147762771308,0.0,333.0,60.69999999999999,124.89199778653199,15598.011111111111,0,1,0,0,0,0,0,0,1.0,67.44444444444444,83.25,54.8,0,0,0,0,0,0,4,333,5,274,-1,11520,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55655-80-6,192.168.100.120,80,192.168.100.15,55655,6,19/01/2023 02:48:56 PM,9566,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.07380305247753,9566.0,0.0,9566.0,9566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,104.53690152623876,104.53690152623876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,11520,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55658-80-6,192.168.100.15,55658,192.168.100.120,80,6,19/01/2023 02:49:00 PM,300834,4,5,333.0,274.0,333.0,0.0,83.25,166.5,257.0,0.0,54.8,113.27267984823172,2017.7240604452954,29.916831209238318,37604.24999999999,79029.80210338376,230382.0,126.0,291025.0,97008.33333333334,159237.0936946958,280810.0,730.0,300033.0,75008.25,105292.4182372596,230382.0,9683.0,0,0,0,0,80,116,13.296369426328141,16.620461782910176,0.0,333.0,60.69999999999999,124.89199778653199,15598.011111111111,0,1,0,0,0,0,0,0,1.0,67.44444444444444,83.25,54.8,0,0,0,0,0,0,4,333,5,274,-1,11520,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55658-80-6,192.168.100.120,80,192.168.100.15,55658,6,19/01/2023 02:49:00 PM,12335,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.14025131738953,12335.0,0.0,12335.0,12335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,81.07012565869476,81.07012565869476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,11520,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55659-80-6,192.168.100.15,55659,192.168.100.120,80,6,19/01/2023 02:49:04 PM,334751,4,5,333.0,274.0,333.0,0.0,83.25,166.5,257.0,0.0,54.8,113.27267984823172,1813.2880857712148,26.88565530797518,41843.875,82295.18798367165,240752.0,132.0,321032.0,107010.66666666666,170840.6163836145,304080.0,777.0,333907.0,83476.75,108355.69049931497,240752.0,9912.0,0,0,0,0,80,116,11.949180136877859,14.936475171097323,0.0,333.0,60.69999999999999,124.89199778653199,15598.011111111111,0,1,0,0,0,0,0,0,1.0,67.44444444444444,83.25,54.8,0,0,0,0,0,0,4,333,5,274,-1,11520,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55659-80-6,192.168.100.120,80,192.168.100.15,55659,6,19/01/2023 02:49:04 PM,10498,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.51247856734616,10498.0,0.0,10498.0,10498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,95.25623928367308,95.25623928367308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,11520,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55660-80-6,192.168.100.15,55660,192.168.100.120,80,6,19/01/2023 02:49:08 PM,317619,4,5,333.0,274.0,333.0,0.0,83.25,166.5,257.0,0.0,54.8,113.27267984823172,1911.0947392945636,28.335836332209347,39702.37499999999,82426.05788209298,240361.0,132.0,311022.0,103674.0,165673.7235562719,294791.0,801.0,316767.0,79191.75,110184.84148428343,240361.0,6465.0,0,0,0,0,80,116,12.593705036537488,15.742131295671859,0.0,333.0,60.69999999999999,124.89199778653199,15598.011111111111,0,1,0,0,0,0,0,0,1.0,67.44444444444444,83.25,54.8,0,0,0,0,0,0,4,333,5,274,-1,11520,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55660-80-6,192.168.100.120,80,192.168.100.15,55660,6,19/01/2023 02:49:09 PM,10016,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.6805111821086,10016.0,0.0,10016.0,10016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,99.8402555910543,99.8402555910543,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,11520,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55661-80-6,192.168.100.15,55661,192.168.100.120,80,6,19/01/2023 02:49:13 PM,328034,4,5,333.0,274.0,333.0,0.0,83.25,166.5,257.0,0.0,54.8,113.27267984823172,1850.4179444813649,27.436180395934567,41004.25,81369.98502387544,237784.0,137.0,320101.0,106700.33333333334,168765.04585468324,301319.0,770.0,327175.0,81793.75,107806.66745112135,237784.0,7796.0,0,0,0,0,80,116,12.193857953748697,15.242322442185872,0.0,333.0,60.69999999999999,124.89199778653199,15598.011111111111,0,1,0,0,0,0,0,0,1.0,67.44444444444444,83.25,54.8,0,0,0,0,0,0,4,333,5,274,-1,11520,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.15-192.168.100.120-55661-80-6,192.168.100.120,80,192.168.100.15,55661,6,19/01/2023 02:49:13 PM,9740,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.3388090349076,9740.0,0.0,9740.0,9740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,102.6694045174538,102.6694045174538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,11520,0,0,0,0,0,0,0,0,0,0,No Label
