Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.154.175.53-192.168.100.15-443-54858-6,192.168.100.15,54858,149.154.175.53,443,6,19/01/2023 04:08:34 PM,168724,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.853678196344324,168724.0,0.0,168724.0,168724.0,0,0,0,0,0,168724.0,168724.0,0.0,168724.0,168724.0,0,0,0,0,0,40,0.0,11.853678196344324,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,3230,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-54852-6,192.168.100.15,54852,149.154.175.52,443,6,19/01/2023 04:08:34 PM,173230,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.545344339894937,173230.0,0.0,173230.0,173230.0,0,0,0,0,0,173230.0,173230.0,0.0,173230.0,173230.0,0,0,0,0,0,40,0.0,11.545344339894937,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,3092,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54866-6,192.168.100.15,54866,149.154.175.53,443,6,19/01/2023 04:08:34 PM,181104,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.043378390317166,181104.0,0.0,181104.0,181104.0,0,0,0,0,0,181104.0,181104.0,0.0,181104.0,181104.0,0,0,0,0,0,40,0.0,11.043378390317166,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,3167,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54912-6,192.168.100.15,54912,149.154.175.53,443,6,19/01/2023 04:08:34 PM,181105,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.043317412550731,181105.0,0.0,181105.0,181105.0,0,0,0,0,0,181105.0,181105.0,0.0,181105.0,181105.0,0,0,0,0,0,40,0.0,11.043317412550731,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,505,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54862-6,192.168.100.15,54862,149.154.175.53,443,6,19/01/2023 04:08:34 PM,183384,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.906076866029752,183384.0,0.0,183384.0,183384.0,0,0,0,0,0,183384.0,183384.0,0.0,183384.0,183384.0,0,0,0,0,0,40,0.0,10.906076866029752,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,3229,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54868-6,192.168.100.15,54868,149.154.175.53,443,6,19/01/2023 04:08:34 PM,183385,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.906017395097745,183385.0,0.0,183385.0,183385.0,0,0,0,0,0,183385.0,183385.0,0.0,183385.0,183385.0,0,0,0,0,0,40,0.0,10.906017395097745,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2206,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-54859-6,192.168.100.15,54859,149.154.175.52,443,6,19/01/2023 04:08:34 PM,180156,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.101489819933834,180156.0,0.0,180156.0,180156.0,0,0,0,0,0,180156.0,180156.0,0.0,180156.0,180156.0,0,0,0,0,0,40,0.0,11.101489819933834,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,3454,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54882-6,192.168.100.15,54882,149.154.175.53,443,6,19/01/2023 04:08:34 PM,190692,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.488116963480376,190692.0,0.0,190692.0,190692.0,0,0,0,0,0,190692.0,190692.0,0.0,190692.0,190692.0,0,0,0,0,0,40,0.0,10.488116963480376,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2422,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54920-6,192.168.100.15,54920,149.154.175.53,443,6,19/01/2023 04:08:34 PM,385083,3,2,345.0,0.0,345.0,0.0,115.0,199.18584287042088,0.0,0.0,0.0,0.0,895.9107517080733,12.984213792870628,96270.75,110242.2515776808,194274.0,456.0,190353.0,95176.5,132938.1961834145,189178.0,1175.0,194274.0,194274.0,0.0,194274.0,194274.0,0,0,0,0,60,64,7.790528275722377,5.193685517148251,0.0,345.0,57.5,140.84566021003275,19837.5,0,1,0,0,0,0,0,0,0.0,69.0,115.0,0.0,0,0,0,0,0,0,3,345,2,0,-1,43400,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54921-6,192.168.100.15,54921,149.154.175.52,80,6,19/01/2023 04:08:34 PM,374603,3,2,347.0,0.0,227.0,0.0,115.66666666666667,113.56202416888021,0.0,0.0,0.0,0.0,926.3139910785551,13.347463848394167,93650.75,100394.3206208233,187870.0,326.0,201544.0,100772.0,123175.17285557183,187870.0,13674.0,172733.0,172733.0,0.0,172733.0,172733.0,0,0,0,0,60,64,8.0084783090365,5.338985539357666,0.0,227.0,57.83333333333333,95.77142928173656,9172.166666666666,0,1,0,0,0,0,0,0,0.0,69.4,115.66666666666667,0.0,0,0,0,0,0,0,3,347,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
